full_name,Country,National_party,political_group,role
Allan MACARTNEY,United Kingdom,Scottish National Party,Group of the European Radical Alliance,Substitute
Maria Antonietta MACCIOCCHI,Italy,Partito radicale,Socialist Group,Member
Professor Sir Neil MacCORMICK,United Kingdom,Scottish National Party,Group of the Greens/European Free Alliance,Member
Maria MAGNANI NOYA,Italy,Partito socialista italiano,Group of the Party of European Socialists,Substitute
Thomas Joseph MAHER,Ireland,Independent,Liberal and Democratic Reformist Group,Member
Emmanuel P.M. MAFFRE-BAUGÉ,France,Parti communiste français,Communist and Allies Group,Substitute
Franco E. MALERBA,Italy,Forza Italia,Group of the European People's Party (Christian-Democratic Group),Substitute
Georges MARCHAIS,France,Parti communiste français,Communist and Allies Group,Member
Marilena MARIN,Italy,Lega Nord per l'indipendenza della Padania,Group Union for Europe,Substitute
Francesca MARINARO,Italy,Partito comunista italiano,Communist and Allies Group,Substitute
René MART,Luxembourg,Parti démocratique,Liberal and Democratic Group,Member
Alfonso Luigi MARRA,Italy,Forza Italia,Group Union for Europe,Member
Maurice MARTIN,France,Parti communiste français,Communist and Allies Group,Member
Sylvie MAYER,France,Parti communiste français,Left Unity,Member
Federico MAYOR ZARAGOZA,Spain,Centro Democràtico y Social,Non-attached,Member
Thomas MEGAHY,United Kingdom,Labour Party,Group of the Party of European Socialists,Member
Mario MELIS,Italy,Unione Valdostana - Partito sardo d'azione,Rainbow Group in the European Parliament,Substitute
Nélio MENDONÇA,Portugal,Partido Social Democrata,Group of the European People's Party (Christian-Democratic Group),Substitute
Pietro-Paolo MENNEA,Italy,I Democratici,Non-attached,Substitute
Jean A.E.E. MEO,France,Défence des intérêts de la France en Europe,Group of European Progressive Democrats,Member
Pierre MESSMER,France,Défence des intérêts de la France en Europe,Group of European Progressive Democrats,Member
Roberto MEZZAROMA,Italy,Forza Italia,Group of the European People's Party (Christian-Democratic Group),Member
Victor J.J. MICHEL,Belgium,Parti social-chrétien (Parti populaire européen),Group of the European People's Party (Christian-Democratic Group),Member
Joaquim MIRANDA,Portugal,Partido Comunista Português,Confederal Group of the European United Left/Nordic Green Left,Chair
Pietro MITOLO,Italy,Movimento sociale italiano - Destra nazionale,Non-attached,Substitute
Alfeo MIZZAU,Italy,Democrazia cristiana,Group of the European People's Party (Christian-Democratic Group),Substitute
Marcello MODIANO,Italy,Democrazia cristiana,Group of the European People's Party (Christian-Democratic Group),Member
