full_name,Country,National_party,political_group,role
Hubert PIRKER,Austria,Österreichische Volkspartei,Group of the European People's Party (Christian Democrats),Member
María Auxiliadora CORREA ZAMORA,Spain,Partido Popular,Group of the European People's Party (Christian Democrats),Member
Gino TREMATERRA,Italy,Unione dei Democratici cristiani e dei Democratici di Centro,Group of the European People's Party (Christian Democrats),Substitute
Jan MULDER,Netherlands,Volkspartij voor Vrijheid en Democratie,Group of the Alliance of Liberals and Democrats for Europe,Substitute
Vicente Miguel GARCÉS RAMÓN,Spain,Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Amelia ANDERSDOTTER,Sweden,Piratpartiet,Group of the Greens/European Free Alliance,Substitute
Kent JOHANSSON,Sweden,Centerpartiet,Group of the Alliance of Liberals and Democrats for Europe,Substitute
Agnès LE BRUN,France,Union pour un Mouvement Populaire,Group of the European People's Party (Christian Democrats),Vice-Chair
Juan Andrés NARANJO ESCOBAR,Spain,Partido Popular,Group of the European People's Party (Christian Democrats),Member
Dolores GARCÍA-HIERRO CARABALLO,Spain,Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Salvador SEDÓ i ALABART,Spain,Coalición por Europa,Group of the European People's Party (Christian Democrats),Substitute
Eva ORTIZ VILELLA,Spain,Partido Popular,Group of the European People's Party (Christian Democrats),Substitute
Daniël van der STOEP,Netherlands,Partij voor de Vrijheid,Non-attached Members,Member
Maurizio Enzo LUPI,Italy,Nuovo Centrodestra - Unione di Centro,,
Monica Stefania BALDI,Italy,Forza Italia,Group of the European People's Party (Christian-Democratic Group),Substitute
Alima BOUMEDIENE-THIERY,France,Les Verts-Europe-Ecologie,Group of the Greens/European Free Alliance,Member
Giuseppe BOVA,Italy,Uniti nell'Ulivo,Non-attached Members,
Ursula BRAUN-MOSER,Germany,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian-Democratic Group),Member
Ombretta COLLI,Italy,Forza Italia,Group of the European People's Party (Christian-Democratic Group),Substitute
Joseph CUSCHIERI,Malta,Partit Laburista,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Kārlis ŠADURSKIS,Latvia,Pilsoniskā Savienība,Group of the European People's Party (Christian Democrats),Member
Paul MURPHY,Ireland,Socialist Party,Confederal Group of the European United Left - Nordic Green Left,Substitute
Dimitrios DROUTSAS,Greece,Panhellenic Socialist Movement,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Vice-Chair
Mikael GUSTAFSSON,Sweden,Vänsterpartiet,Confederal Group of the European United Left - Nordic Green Left,Member
Nikolaos SALAVRAKOS,Greece,Popular Orthodox Rally - G. Karatzaferis,Europe of freedom and democracy Group,Member
Charalampos ANGOURAKIS,Greece,Communist Party of Greece,Confederal Group of the European United Left - Nordic Green Left,Substitute
Jean ROATTA,France,Union pour un Mouvement Populaire,Group of the European People's Party (Christian Democrats),Vice-Chair
Lucas HARTONG,Netherlands,Partij voor de Vrijheid,Non-attached Members,Member
María IRIGOYEN PÉREZ,Spain,Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Zofija MAZEJ KUKOVIČ,Slovenia,Slovenska demokratska stranka,Group of the European People's Party (Christian Democrats),Member
Ewald STADLER,Austria,Bündnis Zukunft Österreich,Non-attached Members,Member
Mojca KLEVA KEKUŠ,Slovenia,Socialni demokrati,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Andrea ZANONI,Italy,Italia dei Valori - Lista Di Pietro,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Phil PRENDERGAST,Ireland,Labour Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Damien ABAD,France,Nouveau Centre,Group of the European People's Party (Christian Democrats),Member
János ÁDER,Hungary,Fidesz-Magyar Polgári Szövetség-Keresztény Demokrata Néppárt,Group of the European People's Party (Christian Democrats),Vice-Chair
François ALFONSI,France,Partitu di a Nazione Corsa,Group of the Greens/European Free Alliance,Member
Magdi Cristiano ALLAM,Italy,Unione dei Democratici cristiani e dei Democratici di Centro,Europe of freedom and democracy Group,Member
Josefa ANDRÉS BAREA,Spain,Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Roberta ANGELILLI,Italy,Alleanza nazionale,Group of the European People's Party (Christian Democrats),Substitute
Elena Oana ANTONESCU,Romania,Partidul Democrat-Liberal,Group of the European People's Party (Christian Democrats),Substitute
Alfredo ANTONIOZZI,Italy,Forza Italia,Group of the European People's Party (Christian Democrats),Substitute
Kader ARIF,France,Parti socialiste,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Kriton ARSENIS,Greece,Panhellenic Socialist Movement,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Sir Robert ATKINS,United Kingdom,Conservative and Unionist Party,European Conservatives and Reformists Group,Substitute
Sophie AUCONIE,France,Nouveau Centre,Group of the European People's Party (Christian Democrats),Member
Jean-Pierre AUDY,France,Union pour un Mouvement Populaire,Group of the European People's Party (Christian Democrats),Member
Elena BĂSESCU,Romania,Partidul Democrat-Liberal,Group of the European People's Party (Christian Democrats),Member
Regina BASTOS,Portugal,Partido Social Democrata,Group of the European People's Party (Christian Democrats),Substitute
Edit BAUER,Slovakia,Strana mad'arskej koalície - Magyar Koalíció Pártja,Group of the European People's Party (Christian Democrats),Member
George BECALI,Romania,Partidul România Mare,Non-attached Members,Substitute
Sandrine BÉLIER,France,Europe Écologie,Group of the Greens/European Free Alliance,Member
Malika BENARAB-ATTOU,France,Europe Écologie,Group of the Greens/European Free Alliance,Substitute
Jean-Luc BENNAHMIAS,France,Les Verts-Europe-Ecologie,Group of the Alliance of Liberals and Democrats for Europe,Substitute
Sergio BERLATO,Italy,Alleanza nazionale,European Conservatives and Reformists Group,Substitute
Thijs BERMAN,Netherlands,Partij van de Arbeid,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Adam BIELAN,Poland,Prawo i Sprawiedliwość,European Conservatives and Reformists Group,Substitute
Jean-Claude MARCOURT,Belgium,Parti Socialiste,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,
Gérard d'ABOVILLE,France,Rassemblement pour la République,Group Union for Europe,Member
Rui AMARAL,Portugal,Partido Social Democrata,Liberal and Democratic Reformist Group,Vice-Chair
Roberta Alma ANASTASE,Romania,Partidul Democrat,Group of the European People's Party (Christian Democrats) and European Democrats,Member
Jan ANDERSSON,Sweden,Socialdemokraterna,Socialist Group in the European Parliament,Chair
Anne ANDRÉ-LÉONARD,Belgium,Parti réformateur libéral,"Group of the European Liberal, Democrat and Reform Party",Member
Pedro APARICIO SÁNCHEZ,Spain,Partido Socialista Obrero Español,Group of the Party of European Socialists,Substitute
Elspeth ATTWOOLL,United Kingdom,Liberal Democrat Party,Group of the Alliance of Liberals and Democrats for Europe,Member
Marino BALDINI,Croatia,Socijaldemokratska partija Hrvatske,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Mihály BALLA,Hungary,Fidesz-Magyar Polgári Szövetség,Group of the European People's Party (Christian Democrats) and European Democrats,Member
Carla BARBARELLA,Italy,Partito comunista italiano,Communist and Allies Group,Substitute
Tiberiu BĂRBULEȚIU,Romania,Partidul Naţional Liberal,Group of the Alliance of Liberals and Democrats for Europe,Substitute
José BARROS MOURA,Portugal,Partido Comunista Português,Group of the Party of European Socialists,Member
Roberto BARZANTI,Italy,Partito comunista italiano,Group of the Party of European Socialists,Member
Dominique BAUDIS,France,Union pour la démocratie française,Group of the European People's Party (Christian Democrats),Vice-Chair
Christopher BEAZLEY,United Kingdom,Conservative and Unionist Party,Group of the European People's Party (Christian Democrats) and European Democrats,Substitute
Jean-Pierre BEBEAR,France,Union pour la démocratie française - Parti républicain,Group of the European People's Party (Christian Democrats) and European Democrats,Member
Phil BENNION,United Kingdom,Liberal Democrats Party,Renew Europe Group,Member
Nora BERRA,France,Union pour un Mouvement Populaire,Group of the European People's Party (Christian Democrats),Substitute
Jan Willem BERTENS,Netherlands,Democraten 66,"Group of the European Liberal, Democrat and Reform Party",Chair
Georges BERTHU,France,Majorité pour l'autre Europe,Non-attached,Substitute
Jean-Paul BESSET,France,Europe Écologie,Group of the Greens/European Free Alliance,Member
Bouke BEUMER,Netherlands,Christen Democratisch Appèl,Group of the European People's Party (Christian-Democratic Group),Substitute
Erik Bernhard BLUMENFELD,Germany,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian-Democratic Group),Member
Colm BURKE,Ireland,Fine Gael Party,Group of the European People's Party (Christian Democrats) and European Democrats,Member
Lambert V.J. CROUX,Belgium,Christelijke Volkspartij (Europese Volkspartij),Group of the European People's Party (Christian-Democratic Group),Substitute
Alessandro DANESIN,Italy,Forza Italia,Group of the European People's Party (Christian-Democratic Group),Substitute
Antonio DEL DUCA,Italy,Democrazia cristiana,Group of the European People's Party (Christian-Democratic Group),Member
Riccardo GAROSCI,Italy,Forza Italia,Group of the European People's Party (Christian-Democratic Group),Substitute
Natalino GATTI,Italy,Partito comunista italiano,Communist and Allies Group,Substitute
Yannos KRANIDIOTIS,Greece,Panellinio Socialistiko Kinima,Group of the Party of European Socialists,Substitute
Innocenzo LEONTINI,Italy,Forza Italia,European Conservatives and Reformists Group,Substitute
Slavi BINEV,Bulgaria,Attack Coalition,Europe of freedom and democracy Group,Substitute
Lothar BISKY,Germany,DIE LINKE.,Confederal Group of the European United Left - Nordic Green Left,Vice-Chair
Godfrey BLOOM,United Kingdom,UK Independence Party,Non-attached Members,Member
Sebastian Valentin BODU,Romania,Partidul Democrat,Group of the European People's Party (Christian Democrats),Vice-Chair
Lajos BOKROS,Hungary,Magyar Demokrata Fórum,European Conservatives and Reformists Group,Member
Vito BONSIGNORE,Italy,Unione dei Democratici cristiani e dei Democratici di Centro,Group of the European People's Party (Christian Democrats),Substitute
Rita BORSELLINO,Italy,Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Piotr BORYS,Poland,Platforma Obywatelska,Group of the European People's Party (Christian Democrats),Substitute
Sharon BOWLES,United Kingdom,Liberal Democrat Party,Group of the Alliance of Liberals and Democrats for Europe,Chair
Emine BOZKURT,Netherlands,Partij van de Arbeid,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Franziska Katharina BRANTNER,Germany,Bündnis 90/Die Grünen,Group of the Greens/European Free Alliance,Member
Frieda BREPOELS,Belgium,Christen-Democratisch & Vlaams - Nieuw-Vlaamse Alliantie,Group of the Greens/European Free Alliance,Substitute
Jan BŘEZINA,Czechia,Křesťanská a demokratická unie - Československá strana lidová,Group of the European People's Party (Christian Democrats),Substitute
Andrew Henry William BRONS,United Kingdom,British National Party,Non-attached Members,Member
Simon BUSUTTIL,Malta,Partit Nazzjonalista,Group of the European People's Party (Christian Democrats),Member
Michael CASHMAN,United Kingdom,Labour Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Françoise CASTEX,France,Parti socialiste,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Andrea ČEŠKOVÁ,Czechia,Občanská demokratická strana,European Conservatives and Reformists Group,Member
Jorgo CHATZIMARKAKIS,Germany,Freie Demokratische Partei - Die Liberalen,Group of the Alliance of Liberals and Democrats for Europe,Member
Giles CHICHESTER,United Kingdom,Conservative and Unionist Party,European Conservatives and Reformists Group,Member
Philip CLAEYS,Belgium,Vlaams Blok,Non-attached Members,Substitute
Derek Roland CLARK,United Kingdom,UK Independence Party,Europe of freedom and democracy Group,Member
Marije CORNELISSEN,Netherlands,GroenLinks,Group of the Greens/European Free Alliance,Substitute
Ricardo CORTÉS LASTRA,Spain,Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Jürgen CREUTZMANN,Germany,Freie Demokratische Partei,Group of the Alliance of Liberals and Democrats for Europe,Substitute
Tadeusz CYMAŃSKI,Poland,Prawo i Sprawiedliwość,Europe of freedom and democracy Group,Substitute
Frédéric DAERDEN,Belgium,Parti Socialiste,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Joseph DAUL,France,Rassemblement pour la République,Group of the European People's Party (Christian Democrats),Substitute
Mário DAVID,Portugal,Partido Social Democrata,Group of the European People's Party (Christian Democrats),Member
Chris DAVIES,United Kingdom,Liberal Democrat Party,Renew Europe Group,Chair
Francesco DE ANGELIS,Italy,Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Jean-Luc DEHAENE,Belgium,Christen-Democratisch & Vlaams - Nieuw-Vlaamse Alliantie,Group of the European People's Party (Christian Democrats),Vice-Chair
Anne DELVAUX,Belgium,Centre Démocrate Humaniste,Group of the European People's Party (Christian Democrats),Member
Proinsias DE ROSSA,Ireland,Workers' Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Andrew DUFF,United Kingdom,Liberal Democrat Party,Group of the Alliance of Liberals and Democrats for Europe,Substitute
Isabelle DURANT,Belgium,Ecologistes Confédérés pour l'Organisation de Luttes Originales,Group of the Greens/European Free Alliance,Substitute
Robert DUŠEK,Czechia,Česká strana sociálně demokratická,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Martin EHRENHAUSER,Austria,"Liste ""Dr. Martin - für Demokratie, Kontrolle, Gerechtigkeit""",Non-attached Members,Substitute
Saïd EL KHADRAOUI,Belgium,Socialistische Partij,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Christian ENGSTRÖM,Sweden,Piratpartiet,Group of the Greens/European Free Alliance,Member
Edite ESTRELA,Portugal,Partido Socialista,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Vice-Chair
Diogo FEIO,Portugal,Partido Popular,Group of the European People's Party (Christian Democrats),Substitute
Carlo FIDANZA,Italy,Il Popolo della Libertà,European Conservatives and Reformists Group,Substitute
Hélène FLAUTRE,France,Les Verts-Europe-Ecologie,Group of the Greens/European Free Alliance,Substitute
Gaston FRANCO,France,Union pour un Mouvement Populaire,Group of the European People's Party (Christian Democrats),Substitute
Pat the Cope GALLAGHER,Ireland,Fianna Fáil Party,Group of the Alliance of Liberals and Democrats for Europe,Substitute
Marielle BOULLIER GALLO,France,La Gauche moderne,Group of the European People's Party (Christian Democrats),Member
Salvador GARRIGA POLLEDO,Spain,Alianza Popular (AP),Group of the European People's Party (Christian Democrats),Substitute
Jean-Paul GAUZÈS,France,Union pour un Mouvement Populaire,Group of the European People's Party (Christian Democrats),Member
Norbert GLANTE,Germany,Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Béla GLATTFELDER,Hungary,Fidesz-Magyar Polgári Szövetség,Group of the European People's Party (Christian Democrats),Substitute
Ivars GODMANIS,Latvia,Latvijas Pirmā Partija/Latvijas Ceļš,Group of the Alliance of Liberals and Democrats for Europe,Substitute
Kinga GÖNCZ,Hungary,Magyar Szocialista Párt,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Vice-Chair
Louis GRECH,Malta,Partit Laburista,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Vice-Chair
Estelle GRELIER,France,Parti socialiste,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Catherine GRÈZE,France,Europe Écologie,Group of the Greens/European Free Alliance,Substitute
Nick GRIFFIN,United Kingdom,British National Party,Non-attached Members,Member
Cristina GUTIÉRREZ-CORTINES,Spain,Partido Popular,Group of the European People's Party (Christian Democrats),Member
Gerald HÄFNER,Germany,Bündnis 90/Die Grünen,Group of the Greens/European Free Alliance,Substitute
Fiona HALL,United Kingdom,Liberal Democrat Party,Group of the Alliance of Liberals and Democrats for Europe,Member
Ágnes HANKISS,Hungary,Fidesz-Magyar Polgári Szövetség-Keresztény Demokrata Néppárt,Group of the European People's Party (Christian Democrats),Member
Satu HASSI,Finland,Vihreä liitto,Group of the Greens/European Free Alliance,Member
Jutta HAUG,Germany,Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Vice-Chair
Jiří HAVEL,Czechia,Česká strana sociálně demokratická,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Jacky HÉNIN,France,Parti communiste français,Confederal Group of the European United Left - Nordic Green Left,Substitute
Edit HERCZOG,Hungary,Magyar Szocialista Párt,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Jim HIGGINS,Ireland,Fine Gael Party,Group of the European People's Party (Christian Democrats),Member
Liem HOANG NGOC,France,Parti socialiste,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Stephen HUGHES,United Kingdom,Labour Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Salvatore IACOLINO,Italy,Il Popolo della Libertà,Group of the European People's Party (Christian Democrats),Member
Anna IBRISAGIC,Sweden,Moderata Samlingspartiet,Group of the European People's Party (Christian Democrats),Substitute
Stanimir ILCHEV,Bulgaria,National Movement Simeon II,Group of the Alliance of Liberals and Democrats for Europe,Member
Juozas IMBRASAS,Lithuania,Partija Tvarka ir teisingumas,Europe of freedom and democracy Group,Member
Vincenzo IOVINE,Italy,Italia dei Valori - Lista Di Pietro,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Ville ITÄLÄ,Finland,Kansallinen Kokoomus,Group of the European People's Party (Christian Democrats),Member
Sidonia MAZUR,Poland,Platforma Obywatelska,Group of the European People's Party (Christian Democrats),Substitute
Romana JORDAN,Slovenia,Slovenska demokratska stranka,Group of the European People's Party (Christian Democrats),Substitute
Dan JØRGENSEN,Denmark,Socialdemokratiet,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Vice-Chair
Jelko KACIN,Slovenia,Liberalna Demokracija Slovenije,Group of the Alliance of Liberals and Democrats for Europe,Substitute
Ivailo KALFIN,Bulgaria,Coalition for Bulgaria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Martin KASTLER,Germany,Christlich-Soziale Union in Bayern e.V.,Group of the European People's Party (Christian Democrats),Member
Evgeni KIRILOV,Bulgaria,Coalition for Bulgaria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Christa KLASS,Germany,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats),Vice-Chair
Jürgen KLUTE,Germany,DIE LINKE.,Confederal Group of the European United Left - Nordic Green Left,Member
Silvana KOCH-MEHRIN,Germany,Freie Demokratische Partei - Die Liberalen,Group of the Alliance of Liberals and Democrats for Europe,Substitute
Maria Eleni KOPPA,Greece,Panellinio Socialistiko Kinima,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Eija-Riitta KORHOLA,Finland,Suomen Kristillinen Liitto,Group of the European People's Party (Christian Democrats),Member
Georgios KOUMOUTSAKOS,Greece,Nea Demokratia,Group of the European People's Party (Christian Democrats),Substitute
Sergej KOZLÍK,Slovakia,Hnutie za demokratické Slovensko,Group of the Alliance of Liberals and Democrats for Europe,Substitute
Edvard KOŽUŠNÍK,Czechia,Občanská demokratická strana,European Conservatives and Reformists Group,Substitute
Holger KRAHMER,Germany,Freie Demokratische Partei - Die Liberalen,Group of the Alliance of Liberals and Democrats for Europe,Member
Rodi KRATSA-TSAGAROPOULOU,Greece,Nea Dimokratia,Group of the European People's Party (Christian Democrats),Member
Wolfgang KREISSL-DÖRFLER,Germany,Bündnis 90/die Grünen,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Vytautas LANDSBERGIS,Lithuania,Tėvynės Sąjungos - konservatorių frakcija,Group of the European People's Party (Christian Democrats),Member
Kurt LECHNER,Germany,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats),Member
Stéphane LE FOLL,France,Parti socialiste,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Klaus-Heiner LEHNE,Germany,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats),Substitute
Isabella LÖVIN,Sweden,Miljöpartiet de gröna,Group of the Greens/European Free Alliance,Vice-Chair
Mechthild von ALEMANN,Germany,Freie Demokratische Partei,Liberal and Democratic Reformist Group,Member
Alexander Nuno PICKART ALVARO,Germany,Freie Demokratische Partei - Die Liberalen,Group of the Alliance of Liberals and Democrats for Europe,Substitute
Luís Paulo ALVES,Portugal,Partido Socialista,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Marta ANDREASEN,United Kingdom,United Kingdom Independence Party,European Conservatives and Reformists Group,Member
Gustave ANSART,France,Parti communiste français,Communist and Allies Group,Member
Antonello ANTINORO,Italy,Unione dei Democratici cristiani e dei Democratici di Centro,Group of the European People's Party (Christian Democrats),Substitute
Bernard ANTONY,France,Front national,Non-attached,Substitute
Pablo ARIAS ECHEVERRÍA,Spain,Partido Popular,Group of the European People's Party (Christian Democrats),Member
Pino ARLACCHI,Italy,Italia dei Valori - Lista Di Pietro,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Ioannis AVEROFF,Greece,Nea Dimokratia,Group of the European People's Party (Christian Democrats) and European Democrats,Member
Liam AYLWARD,Ireland,Fianna Fáil Party,Group of the Alliance of Liberals and Democrats for Europe,Substitute
Peter BACO,Slovakia,Hnutie za demokratické Slovensko,Non-attached Members,Substitute
Zoltán BAGÓ,Hungary,Fidesz-Magyar Polgári Szövetség,Group of the European People's Party (Christian Democrats),Substitute
Raffaele BALDASSARRE,Italy,Il Popolo della Libertà,Group of the European People's Party (Christian Democrats),Vice-Chair
Francesca BALZANI,Italy,Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Mary Elizabeth BANOTTI,Ireland,Fine Gael Party,Group of the European People's Party (Christian Democrats) and European Democrats,Substitute
Enrique BARÓN CRESPO,Spain,Partido Socialista Obrero Español,Socialist Group in the European Parliament,Substitute
Jean-Pierre BAZIN,France,Rassemblement pour la République,Group Union for Europe,Chair
Maria BERGER,Austria,Sozialdemokratische Partei Österreichs,Socialist Group in the European Parliament,Member
Luigi BERLINGUER,Italy,Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Janey O'Neil BUCHAN,United Kingdom,Labour Party,Group of the Party of European Socialists,Member
Christian E.A. CABROL,France,Rassemblement pour la République,Group Union for Europe,Member
Giorgio CALÒ,Italy,Italia dei Valori - Lista Di Pietro,"Group of the European Liberal, Democrat and Reform Party",Member
Rafael CALVO ORTEGA,Spain,Centro Democràtico y Social,Liberal and Democratic Reformist Group,Member
Leopoldo CALVO-SOTELO,Spain,Unión Centro Democràtico,Group of the European People's Party (Christian-Democratic Group),Member
Eusebio CANO PINTO,Spain,Partido Socialista Obrero Español,Group of the Party of European Socialists,Vice-Chair
Manuel CANTARERO DEL CASTILLO,Spain,Coalición Popular,European Democratic Group,Member
Mario CAPANNA,Italy,Democrazia proletaria,Group for the Technical Coordination and Defence of Independent Groups and Members,Member
António CAPUCHO,Portugal,Partido Social Democrata,Group of the European People's Party (Christian-Democratic Group),Member
Angelo CAROSSINO,Italy,Partito comunista italiano,Communist and Allies Group,Member
José Vicente CARVALHO CARDOSO,Portugal,Partido do Centro Democrático Social,Group of the European People's Party (Christian-Democratic Group),Substitute
Pier Ferdinando CASINI,Italy,Centro cristiano democratico,Group of the European People's Party (Christian Democrats) and European Democrats,Member
Adriana CECI,Italy,Partito comunista italiano,Group of the Party of European Socialists,Member
Carmen CERDEIRA MORTERERO,Spain,Partido Socialista Obrero Español,Group of the Party of European Socialists,Substitute
José Emilio CERVERA CARDONA,Spain,Centro Democràtico y Social,Non-attached,Substitute
António Antero COIMBRA MARTINS,Portugal,Partido Socialista,Group of the Party of European Socialists,Substitute
Emilio COLOMBO,Italy,Democrazia cristiana,Group of the European People's Party (Christian-Democratic Group),Member
Quinídio CORREIA,Portugal,Partido Socialista,Group of the Party of European Socialists,Member
Artur DA CUNHA OLIVEIRA,Portugal,Partido Socialista,Group of the Party of European Socialists,Member
Marek Aleksander CZARNECKI,Poland,Samoobrona RP,Group of the Alliance of Liberals and Democrats for Europe,Member
Hanne DAHL,Denmark,JuniBevægelsen - Mod Unionen,Independence/Democracy Group,Substitute
Jean P.M.O.G. DEFRAIGNE,Belgium,Parti réformateur libéral,Liberal and Democratic Reformist Group,Member
Claude A.F. DELCROIX,Belgium,Parti socialiste,Group of the Party of European Socialists,Substitute
Ottaviano DEL TURCO,Italy,Uniti nell'Ulivo,Socialist Group in the European Parliament,Substitute
Gábor DEMSZKY,Hungary,Szabad Demokraták Szövetsége,Group of the Alliance of Liberals and Democrats for Europe,Substitute
Marie-José DENYS,France,Parti socialiste,Group of the Party of European Socialists,Member
Barry DESMOND,Ireland,Labour Party,Group of the Party of European Socialists,Substitute
Dimitrios DESSYLAS,Greece,Kommounistiko Komma Elladas,Left Unity,Member
Mia DE VITS,Belgium,"Socialistische Partij.Anders- Sociaal, Progressief, Internationaal, Regionaal, Integraal Democratisch, Toekomstgericht",Socialist Group in the European Parliament,Member
Jacques DONNAY,France,Rassemblement pour la République,Group Union for Europe,Member
Bert DOORN,Netherlands,Christen Democratisch Appèl,Group of the European People's Party (Christian Democrats) and European Democrats,Substitute
Mojca DRČAR MURKO,Slovenia,Liberalna Demokracija Slovenije,Group of the Alliance of Liberals and Democrats for Europe,Member
Michael N. ELLIOTT,United Kingdom,Labour Party,Group of the Party of European Socialists,Substitute
Marianne ERIKSSON,Sweden,Vänsterpartiet,Confederal Group of the European United Left/Nordic Green Left,Member
Alain ESCLOPÉ,France,"Chasse, Pêche, Nature, Traditions",Group for a Europe of Democracies and Diversities,Member
André FANTON,France,Défence des intérêts de la France en Europe,Group of the European Democratic Alliance,Member
Giulio FANTUZZI,Italy,Partito comunista italiano,Group of the Party of European Socialists,Substitute
Carlo FATUZZO,Italy,Partito Pensionati,Group of the European People's Party (Christian Democrats) and European Democrats,Substitute
Maurice FAURE,France,Mouvement des Radicaux de Gauche,Socialist Group,Member
Szabolcs FAZAKAS,Hungary,Magyar Szocialista Párt,Socialist Group in the European Parliament,Member
Pernille FRAHM,Denmark,Socialistisk Folkeparti,Confederal Group of the European United Left/Nordic Green Left,Member
Juan FRAILE CANTÓN,Spain,Partido Socialista Obrero Español,Socialist Group in the European Parliament,Member
Alberto GHERGO,Italy,Democrazia cristiana,Group of the European People's Party (Christian-Democratic Group),Member
Giovanni GIAVAZZI,Italy,Democrazia cristiana,Group of the European People's Party (Christian-Democratic Group),Member
Claire GIBAULT,France,Union pour la démocratie française,Group of the Alliance of Liberals and Democrats for Europe,Member
Annemarie M.C. GOEDMAKERS,Netherlands,Partij van de Arbeid,Group of the Party of European Socialists,Substitute
Antonio GONZÁLEZ TRIVIÑO,Spain,Partido Socialista Obrero Español,Group of the European Radical Alliance,Member
Pascale GRUNY,France,Union pour un Mouvement Populaire,Group of the European People's Party (Christian Democrats),Member
Elisabeth GUIGOU,France,Parti socialiste,Group of the Party of European Socialists,Member
Holger GUSTAFSSON,Sweden,Kristdemokratiska samhällspartiet,Group of the European People's Party (Christian-Democratic Group),Member
Antoni GUTIÉRREZ DÍAZ,Spain,Izquierda Unida,Confederal Group of the European United Left/Nordic Green Left,Substitute
Wilhelm F.T. HAHN,Germany,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian-Democratic Group),Member
Gábor HARANGOZÓ,Hungary,Magyar Szocialista Párt,Socialist Group in the European Parliament,Member
Veronica Mary HARDSTAFF,United Kingdom,Labour Party,Group of the Party of European Socialists,Substitute
Konstantinos HATZIDAKIS,Greece,Nea Dimokratia,Group of the European People's Party (Christian Democrats) and European Democrats,Substitute
Karl W.H. HAUENSCHILD,Germany,Sozialdemokratische Partei Deutschlands,Socialist Group,Member
